epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,148.974,0.64845,0.39258,0.9174,0.96291,0.97442,0.98665,0.81598,0.70926,0.4117,0.91222,0.00154897,0.00154897,0.00154897
146,150.019,0.66579,0.40177,0.93077,0.95726,0.97209,0.97985,0.81525,0.70362,0.41546,0.9134,0.0015436,0.0015436,0.0015436
147,151.059,0.66394,0.41837,0.93539,0.96261,0.98605,0.9888,0.80964,0.73274,0.42768,0.92821,0.00153821,0.00153821,0.00153821
148,152.086,0.67219,0.4125,0.92795,0.97065,0.97674,0.99072,0.83093,0.67703,0.38521,0.89795,0.00153281,0.00153281,0.00153281
149,153.114,0.6464,0.40523,0.92707,0.97456,0.97998,0.9894,0.82794,0.6903,0.39265,0.90393,0.0015274,0.0015274,0.0015274
150,154.144,0.66572,0.39703,0.93733,0.96565,0.97674,0.98683,0.82356,0.68703,0.41001,0.90461,0.00152197,0.00152197,0.00152197
151,155.189,0.67144,0.39821,0.92186,0.96089,0.97142,0.98497,0.82378,0.69842,0.40342,0.91502,0.00151654,0.00151654,0.00151654
152,156.214,0.66287,0.39747,0.93368,0.98106,0.96359,0.98058,0.82319,0.70505,0.40833,0.91429,0.00151109,0.00151109,0.00151109
153,157.268,0.64684,0.39005,0.91851,0.9687,0.95581,0.97382,0.81715,0.70568,0.4154,0.91476,0.00150563,0.00150563,0.00150563
154,158.295,0.66374,0.40349,0.92757,0.96319,0.96279,0.97849,0.82073,0.69351,0.4138,0.90721,0.00150016,0.00150016,0.00150016
155,159.343,0.66779,0.41386,0.94951,0.96297,0.96766,0.97698,0.80846,0.71708,0.42236,0.91244,0.00149469,0.00149469,0.00149469
156,160.399,0.63075,0.38971,0.9107,0.95681,0.96977,0.98136,0.82,0.68817,0.41749,0.9022,0.0014892,0.0014892,0.0014892
157,161.437,0.63577,0.38471,0.92317,0.96205,0.96047,0.98128,0.82707,0.67007,0.40219,0.89985,0.0014837,0.0014837,0.0014837
158,162.471,0.67948,0.40531,0.92943,0.96984,0.95581,0.98375,0.8324,0.65278,0.38387,0.89008,0.0014782,0.0014782,0.0014782
159,163.394,0.61356,0.3835,0.91871,0.95764,0.96744,0.98294,0.82631,0.68315,0.41318,0.90191,0.00147269,0.00147269,0.00147269
160,164.432,0.63724,0.39909,0.92132,0.95937,0.96744,0.98357,0.82369,0.67941,0.41016,0.89921,0.00146717,0.00146717,0.00146717
161,165.347,0.64846,0.39527,0.93117,0.97328,0.96744,0.98853,0.82329,0.66859,0.40076,0.89585,0.00146164,0.00146164,0.00146164
162,166.384,0.65904,0.39554,0.92273,0.97434,0.97125,0.98759,0.82844,0.67081,0.39888,0.90059,0.0014561,0.0014561,0.0014561
163,167.428,0.6311,0.38477,0.92129,0.96039,0.97209,0.98562,0.82468,0.68942,0.41422,0.90414,0.00145056,0.00145056,0.00145056
164,168.45,0.63958,0.39372,0.92471,0.95964,0.97209,0.98676,0.82816,0.68481,0.40307,0.90897,0.00144502,0.00144502,0.00144502
165,169.477,0.64238,0.38913,0.92233,0.9833,0.96512,0.98607,0.83391,0.68178,0.38304,0.89929,0.00143946,0.00143946,0.00143946
166,170.509,0.6158,0.37425,0.90915,0.98998,0.96279,0.98781,0.83471,0.68308,0.3931,0.90095,0.00143391,0.00143391,0.00143391
167,171.528,0.62592,0.38932,0.9165,0.98886,0.95349,0.98255,0.83248,0.66744,0.39808,0.90139,0.00142835,0.00142835,0.00142835
168,172.541,0.61868,0.38677,0.93513,0.97414,0.96356,0.98402,0.82952,0.67202,0.39205,0.90201,0.00142278,0.00142278,0.00142278
169,173.596,0.63541,0.39044,0.92416,0.98265,0.96279,0.98813,0.83208,0.68152,0.38308,0.90536,0.00141721,0.00141721,0.00141721
170,174.522,0.61918,0.3797,0.91636,0.97457,0.97209,0.99074,0.83617,0.67925,0.37349,0.90225,0.00141164,0.00141164,0.00141164
171,175.553,0.63807,0.39508,0.92453,0.97453,0.97907,0.98875,0.82804,0.68968,0.37674,0.90965,0.00140607,0.00140607,0.00140607
172,176.603,0.62526,0.38028,0.91477,0.95933,0.97674,0.98463,0.82617,0.69098,0.38437,0.91119,0.00140049,0.00140049,0.00140049
173,177.649,0.63923,0.39147,0.92083,0.96705,0.96512,0.98849,0.83131,0.67919,0.37513,0.89826,0.00139491,0.00139491,0.00139491
174,178.677,0.63993,0.39194,0.92299,0.96989,0.97383,0.99063,0.83974,0.67371,0.38777,0.89689,0.00138933,0.00138933,0.00138933
175,179.712,0.63,0.37987,0.9142,0.96533,0.97907,0.98914,0.83357,0.67288,0.39003,0.89555,0.00138375,0.00138375,0.00138375
176,180.772,0.66102,0.40278,0.93231,0.96286,0.96476,0.98494,0.83302,0.65852,0.38533,0.89085,0.00137817,0.00137817,0.00137817
177,181.812,0.63115,0.37968,0.90731,0.96038,0.95842,0.98036,0.82374,0.67706,0.39968,0.9018,0.00137259,0.00137259,0.00137259
178,182.85,0.62506,0.37781,0.92063,0.96473,0.95405,0.98415,0.83493,0.6602,0.38835,0.89626,0.001367,0.001367,0.001367
